epoch,train_loss,val_loss,val_dice
1,1.785468495809115,1.7657238642374675,0.021800916440143748
2,1.7105410007330089,1.6888073682785034,0.02077133356397392
3,1.6698653606268077,1.6337045431137085,0.011112489805154262
4,1.6408109481518085,1.618862509727478,0.01995636405290156
5,1.620150483571566,1.6006644169489543,0.015006416954137269
6,1.6033421021241407,1.588038722674052,0.016116332405102952
7,1.5887400003579946,1.578587532043457,0.015178154254061316
8,1.5770394160197332,1.5663140614827473,0.015092050696852988
9,1.563908026768611,1.555051287015279,0.011877313662382857
10,1.5523634690504808,1.5490113496780396,0.016288728328370312
11,1.5404033018992498,1.5333933432896931,0.01970666308278994
12,1.5317054253358107,1.5185583432515461,0.01664356774330989
13,1.5202554556039662,1.5081717570622761,0.024076545923631038
14,1.5099476759250348,1.4963196516036987,0.013510334668422646
15,1.4991803077551036,1.4873017072677612,0.01410122050385435
16,1.4907778318111713,1.4772368669509888,0.016199300851573322
17,1.4866551894408007,1.4772227605183919,0.005852198947172262
18,1.4798628091812134,1.474551757176717,0.009902592198623963
19,1.4692639479270349,1.4610271453857422,0.011404828152384824
20,1.4602104700528657,1.455225666364034,0.005924058695697039
